,title,date,country,genre,rate
298,Project 12: The Bunker,8 January 2016 (Japan),Spain,"['Action', 'Adventure']",3.3
299,Altered Perception,4 May 2018 (USA),USA,"['Fantasy', 'Mystery']",3.3
300,The Asian Connection,13 May 2016 (USA),Thailand,"['Action', 'Crime']",3.3
301,Fireangels: A Drifter's Fury,23 June 2017 (USA),USA,['Horror'],3.3
302,Quadrant 9EV9,1 March 2016 (USA),USA,"['Action', 'Horror']",3.3
303,Devilish Charm,1 May 2014 (USA),USA,[],3.3
304,A Haunting in Cawdor,11 March 2016 (USA),USA,['Horror'],3.3
305,The Lost Generation,11 November 2013 (UK),UK,[],3.3
306,What's Eating Todd?,27 July 2016 (USA),USA,['Horror'],3.3
307,24 Hours,29 September 2015 (USA),USA,['Action'],3.3
308,The Xpose,16 May 2014 (India),India,[],3.3
309,Muska,25 July 2014 (Turkey),Turkey,"['Drama', 'Horror']",3.3
310,Survival Instinct,13 June 2016 (UK),UK,"['Action', 'Horror']",3.3
311,Ayla,21 September 2017 (Sweden),USA,"['Drama', 'Fantasy']",3.3
312,We Are Monsters,May 2015 (Spain),Sweden,"['Drama', 'Horror']",3.3
313,Soul Fray,18 October 2016 (USA),USA,[],3.3
314,Don't Sleep,29 September 2017 (USA),USA,['Horror'],3.3
315,Check Point,7 March 2017 (USA),USA,"['Action', 'Thriller']",3.3
316,Mihrez: Cin Padisahi,17 April 2015 (Turkey),Turkey,['Horror'],3.3
317,O Amuleto,28 May 2015 (Brazil),Brazil,[],3.3
318,Teenage Slumber Party Nightmare,12 July 2015 (USA),Canada,"['Comedy', 'Horror']",3.3
319,The Last Supper,9 May 2014 (India),India,"['Adventure', 'Mystery']",3.3
320,Den of Darkness,20 February 2016 (USA),USA,['Horror'],3.3
321,Hunting Season,7 June 2016 (USA),USA,[],3.3
322,Peigal Jaakkirathai,1 January 2016 (India),India,"['Comedy', 'Horror']",3.3
323,Zoombies,1 March 2016 (USA),USA,"['Action', 'Adventure']",3.3
324,Protocol 734,30 October 2016 (USA),USA,['Action'],3.3
325,Valliyum Thetti Pulliyum Thetti,12 May 2016 (India),India,"['Action', 'Comedy']",3.3
326,The 13th Friday,10 January 2017 (USA),USA,['Horror'],3.3
327,China Salesman,16 June 2017 (China),China,"['Action', 'Adventure']",3.3
328,Roofied,11 November 2017 (UK),UK,['Drama'],3.3
329,Ashley,13 January 2017 (India),India,[],3.3
330,Kalo Bhromor,Thriller,India,[],3.3
331,Vacant House,2016 (USA),USA,"['Drama', 'Horror']",3.4
332,Spiders 3D,21 February 2013 (Malaysia),USA,"['Horror', 'Sci-Fi']",3.4
333,Dead Sea,4 November 2017 (Canada),USA,"['Action', 'Adventure']",3.4
334,Alone,25 November 2014 (USA),USA,"['Horror', 'Mystery']",3.4
335,Report 51,21 November 2013 (Spain),Italy,['Sci-Fi'],3.4
336,Desecrated,6 January 2015 (USA),USA,['Horror'],3.4
337,Stag Hunt,16 May 2015 (USA),UK,"['Adventure', 'Comedy']",3.4
338,White Rabbit,13 February 2015 (USA),USA,"['Crime', 'Drama']",3.4
339,Dark Power,9 July 2013 (USA),USA,[],3.4
340,Gitaskog,Horror,Canada,['Action'],3.4
