,title,date,country,genre,rate
226,Shockwave Darkside,22 August 2014 (UK),Germany,['Action'],2.1
227,2045 Carnival Folklore,July 2015 (Japan),Japan,"['Drama', 'Music']",2.1
228,Nightmare in Russia,19 February 2017 (Russia),Russia,"['Action', 'Adventure']",2.1
229,Zombex,26 October 2013 (USA),USA,"['Horror', 'Sci-Fi']",2.2
230,500 MPH Storm,1 November 2013 (Canada),USA,"['Action', 'Adventure']",2.2
231,Game Therapy,22 October 2015 (Italy),Italy,"['Action', 'Comedy']",2.2
232,Maanga,11 September 2015 (India),India,['Comedy'],2.2
233,Sharkenstein,16 August 2016 (USA),USA,"['Action', 'Adventure']",2.2
234,Illuminati 2: The Battle in Space,9 February 2013 (Hungary),Hungary,[],2.2
235,Zombie Massacre,26 October 2013 (Japan),Italy,"['Action', 'Horror']",2.3
236,Robot Wars,5 October 2016 (Japan),USA,[],2.3
237,Starship: Rising,21 August 2014 (USA),USA,['Action'],2.3
238,Avalanche Sharks,1 January 2014 (Canada),Canada,"['Action', 'Adventure']",2.3
239,Shock Attack,1 March 2015 (USA),USA,['Horror'],2.3
240,Nocturnal Activity,1 November 2014 (UK),UK,['Horror'],2.3
241,Martian Land,6 October 2015 (USA),USA,"['Action', 'Adventure']",2.3
242,Cheery Point,26 March 2013 (USA),USA,['Drama'],2.4
243,Jurassic Attack,10 March 2016 (South Korea),USA,"['Action', 'Adventure']",2.4
244,100 Degrees Below Zero,13 April 2013 (USA),USA,"['Action', 'Adventure']",2.4
245,Territory 8,1 May 2013 (USA),USA,"['Drama', 'Sci-Fi']",2.4
246,Zombies of the Living Dead,Sci-Fi,USA,['Action'],2.4
247,The Broken Key,16 November 2017 (Italy),Italy,"['History', 'Sci-Fi']",2.4
248,Oceans Rising,17 January 2017 (UK),USA,"['Action', 'Adventure']",2.4
249,Hyperfutura,1 February 2013 (USA),USA,[],2.5
250,Poseidon Rex,10 January 2014 (India),USA,"['Action', 'Adventure']",2.5
251,Fire Twister,21 June 2015 (Netherlands),USA,"['Action', 'Adventure']",2.5
252,2047: Sights of Death,24 July 2014 (Italy),Italy,"['Action', 'Sci-Fi']",2.5
253,Not Another Sci-Fi Movie,2013 (USA),USA,['Comedy'],2.5
254,The Doll,8 December 2017 (USA),USA,"['Fantasy', 'Horror']",2.5
255,The Brides of Sodom,29 January 2013 (USA),USA,"['Fantasy', 'Horror']",2.6
256,Apocalypse Kiss,8 April 2014 (USA),USA,[],2.6
257,Quarantine L.A.,17 March 2016 (South Korea),USA,['Horror'],2.6
258,Mega Shark vs. Mecha Shark,28 January 2014 (USA),USA,"['Action', 'Adventure']",2.6
259,LA Apocalypse,7 May 2015 (Germany),USA,"['Action', 'Sci-Fi']",2.6
260,Rz-9,16 April 2015 (USA),USA,['Action'],2.6
261,"10,000 Days",23 November 2014 (USA),USA,[],2.6
262,Texas Voodoo Zombies,30 September 2016 (USA),USA,[],2.6
263,Star Trek: Captain Pike,Sci-Fi,USA,['Action'],2.6
264,Alienate,5 May 2017 (USA),USA,"['Drama', 'Horror']",2.7
265,Aliens,Sci-Fi,South Korea,['Comedy'],2.7
266,AndrÃ²n: The Black Labyrinth,3 June 2016 (USA),Italy,['Action'],2.7
267,Taking Earth,2017 (South Africa),South Africa,[],2.7
268,Deadly Voltage,15 January 2016 (UK),Canada,['Drama'],2.7
269,Dickshark,22 March 2016 (USA),USA,['Comedy'],2.7
270,We All Fall Down,12 August 2016 (USA),USA,"['Adventure', 'Drama']",2.7
271,Alligator X,16 April 2014 (Belgium),USA,"['Action', 'Adventure']",2.8
272,"The Darkness, Rage and the Fury",February 2014 (USA),USA,"['Horror', 'Sci-Fi']",2.8
273,The Eugenist,2013 (USA),USA,['Horror'],2.8
274,Sink Hole,1 April 2013 (USA),USA,[],2.8
